Id,Sentiment,Pasangan Calon,Tweet,preprocessing,preprobaru
136,negative,Agus-Sylvi,"Versi #3 video #AHYANGaruk2Kepala terlihat bingung bicara banjir, kota apung  <Face With Stuck-Out Tongue & Closed Eyes>  di atas, permukaan tanah dan air, bikin bengong <Smiling Face With Open Mouth & Closed Eyes>",versi video ahyangaruk kepala bingung bicara banjir kota apung face dengan stuck out tongue closed eyes muka tanah air bikin bengong smiling face dengan open mouth closed eyes,versi video ahyangaruk kepala bingung bicara banjir kota apung face stuck out tongue closed eyes muka tanah air bikin bengong smiling face open mouth closed eyes
137,negative,Agus-Sylvi,Ahokers mendadak #AHY ?? Gak salah tuh?? Sesuatu banget !!  <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes>,ahoker dadak agus harimurti yudhoyono tidak salah itu banget face dengan stuck out tongue closed eyes face dengan stuck out tongue closed eyes face dengan stuck out tongue closed eyes face dengan stuck out tongue closed eyes face dengan stuck out tongue closed eyes,ahoker dadak agus hari i yudhoyono salah banget face stuck out tongue closed eyes face stuck out tongue closed eyes face stuck out tongue closed eyes face stuck out tongue closed eyes face stuck out tongue closed eyes
138,negative,Agus-Sylvi,HOAX kok tidakada habis2nya...  Foto 4 hari sebelum pencoblosan...fotonya tidak HOAX.. tulisanya penuh dusta! <Angry Face>,hoaks tidakada habis nya foto coblos foto hoaks tulisanya penuh dusta angry face,hoaks tidakada habis nya foto coblos foto hoaks tulisanya penuh dusta angry face
139,negative,Agus-Sylvi,Deklarasi ini sepihak. Tanpa konsultasi dan persetujuan AHY.,deklarasi konsultasi tuju agus harimurti yudhoyono,deklarasi konsultasi tuju agus hari i yudhoyono
140,negative,Agus-Sylvi,@Syahrir_Lantoni sudah kena telikung sekarang nama #AHY dibajak pula? <Face With Stuck-Out Tongue & Closed Eyes>,syahrir lantoni kena telikung nama agus harimurti yudhoyono bajak face dengan stuck out tongue closed eyes,syahrir lantoni kena telikung nama agus hari i yudhoyono bajak face stuck out tongue closed eyes
141,negative,Agus-Sylvi,"Meski saya tak pilih #AHY, kok rasanya mules ya dengan kontestasi politik putaran 2 #politikpalsu cuih  <Pig Nose> <Pig Nose>",pilih agus harimurti yudhoyono mules ya kontestasi politik putar politikpalsu cih pig nose pig nose,pilih agus hari i yudhoyono mules ya kontestasi politik putar politikpalsu cih pig nose pig nose
142,negative,Agus-Sylvi,"Pak @SBYudhoyono jangan biarkan pengorbanan dan perjuangan #AHY , Kita #Lawan Rezim Koplak ini ! #nunggu komando.  <Fire>  <Fire>",susilo bambang yudhoyono biar korban juang agus harimurti yudhoyono lawan rezim kocak menunggu komando fire fire,susilo bambang yudhoyono biar korban juang agus hari i yudhoyono lawan rezim kocak tunggu komando fire fire
143,negative,Agus-Sylvi,Jadi gak sampai hati ketika mencermatinya ! Mungkin ada penyusup masuk tidak terpantau <Person Bowing> oleh team #AHY,tidak hati cermat susup masuk pantau person bowing tim agus harimurti yudhoyono,hati cermat susup masuk pantau person bowing tim agus hari i yudhoyono
144,negative,Agus-Sylvi,Ayo pendukung AHY Dukung penggembosmu <Tongue> <Fire> <Fire>,ayo dukung agus harimurti yudhoyono dukung gembos tongue fire fire,ayo dukung agus hari i yudhoyono dukung gembos tongue fire fire
145,negative,Agus-Sylvi,Suara #ahy bakal direbuntukan. Apakah pak @basuki_btp mau melanjuntukan program yang di usung pak @AgusYudhoyono sepertinya tidak .  <Expressionless Face>,suara agus harimurti yudhoyono direbuntukan basuki ahok melanjuntukan program usung agusyudhoyono sepe inya expressionless face,suara agus hari i yudhoyono direbuntukan basuki ahok melanjuntukan program usung agusyudhoyono sepe inya expressionless face
146,negative,Agus-Sylvi,@SBYudhoyono tweet anda yang justru kontraproduktif terhadap #AHY pak. <Zipper-Mouth Face> <Zipper-Mouth Face> <Zipper-Mouth Face>,susilo bambang yudhoyono twit kontraproduktif agus harimurti yudhoyono zipper mouth face zipper mouth face zipper mouth face,susilo bambang yudhoyono twit kontraproduktif agus hari i yudhoyono zipper mouth face zipper mouth face zipper mouth face
147,negative,Agus-Sylvi,#AHY #SBY #Jakarta #Jatim #Jabar #Presiden #NgopiSore Mau ke Mana AHY Setelah Nyungsep di Jakarta? @tribunmedan,agus harimurti yudhoyono susilo bambang yudhoyono jaka a jawa timur jabar presiden ngopisore agus harimurti yudhoyono nyungsep jaka a tribunmedan,agus hari i yudhoyono susilo bambang yudhoyono jaka a jawa timur jabar presiden ngopisore agus hari i yudhoyono nyungsep jaka a tribunmedan
148,negative,Agus-Sylvi,"Suara #AHY rusak gara-gara nyanyian si AA PeKa ini, moga SBY bisa bikin dia jeblos penjara sampai pupus disana !!! #GueGeram  <Face With Steam From Nose>",suara agus harimurti yudhoyono rusak gara gara nyanyi sih kakak peka semoga susilo bambang yudhoyono bikin jeblos penjara pupus sana guegeram face dengan steam from nose,suara agus hari i yudhoyono rusak gara gara nyanyi sih kakak peka semoga susilo bambang yudhoyono bikin jeblos penjara pupus guegeram face steam from nose
149,negative,Agus-Sylvi,"awas banyak mendadak baik, metamorfosis dari kecebong brubah jd anjing penjilat #AHY & #AniesSandi  <OK HAND> <Clapping Hands>",awas dadak metamorfosis kecebong berubah jadi anjing jilat agus harimurti yudhoyono aniessandi oke hand clapping hands,awas dadak metamorfosis kecebong ubah anjing jilat agus hari i yudhoyono aniessandi oke hand clapping hands
150,negative,Agus-Sylvi,Sekarang tinggal tunggu sikap #AHY terhadap manuver agus   <Clapping Hands>  <Face With Cold Sweat> <Face With Cold Sweat>,tinggal tunggu sikap agus harimurti yudhoyono manuver agus clapping hands face dengan cold sweat face dengan cold sweat,tinggal tunggu sikap agus hari i yudhoyono manuver agus clapping hands face cold sweat face cold sweat
151,positive,Agus-Sylvi,Doa ku.. Semoga suaranya mas Agus-Sylvi beneran ke #Badja #PilkadaDKI2017 yakin kan mas Agus.. Aku pada mu..,doa ku semoga suara mas agus sylvi benaran badja pilkadadki mas agus mu,doa ku semoga suara mas agus sylvi benar badja pilkadadki mas agus mu
152,positive,Agus-Sylvi,"Terima kasih mas @AgusYudhoyono, karenamu anak muda telah berani menyuarakan perubahan. Kami tetap bersamamu #YNWA",terima kasih mas agusyudhoyono karena anak muda berani suara ubah sama ynwa,terima kasih mas agusyudhoyono anak muda berani suara ubah ynwa
153,positive,Agus-Sylvi,KETEMU DI ISTIQLAL Bangga Pernah Jadi Bagian Dari @AgusYudhoyono dan @sylviana_murni @ZaraZettiraZr @AhyCenter @SohibAHY,ketemu istiqlal bangga agusyudhoyono sylviana murni zarazettirazr ahycenter sohibahy,ketemu istiqlal bangga agusyudhoyono sylviana murni zarazettirazr ahycenter sohibahy
154,positive,Agus-Sylvi,"Tersingkir dari kancah pilkada DKI, rupanya ada cara lain untuk mengangkat seseorang #AHY Mendunia",singkir kancah pilihan kepala daerah daerah khusus ibukota angkat agus harimurti yudhoyono dunia,singkir kancah pilih kepala daerah daerah khusus ibu kota angkat agus hari i yudhoyono dunia
155,positive,Agus-Sylvi,"Dalam Pilkada DKI, AHY juga mampu menunjukkan kualitasnya sebagai seorang pemimpin muda yang berjiwa ksatria. (AHY mendunia)",pilihan kepala daerah daerah khusus ibukota agus harimurti yudhoyono kualitas pimpin muda jiwa ksatria agus harimurti yudhoyono dunia,pilih kepala daerah daerah khusus ibu kota agus hari i yudhoyono kualitas pimpin muda jiwa ksatria agus hari i yudhoyono dunia
156,positive,Agus-Sylvi,usai pilkada DKI AHY keliling Nusantara merajut Persatuan #Indonesia bukan cuma Jakarta!,pilihan kepala daerah daerah khusus ibukota agus harimurti yudhoyono keliling nusantara rajut satu indonesia jaka a,pilih kepala daerah daerah khusus ibu kota agus hari i yudhoyono keliling nusantara rajut indonesia jaka a
157,positive,Agus-Sylvi,"(12) AHY justru menitipkan pentingnya menjaga pluralisme, kebangsaan dan kesatuan dalam persaingan Pilkada. Persatuan lebih penting.",agus harimurti yudhoyono titip jaga pluralisme bangsa satu saing pilihan kepala daerah satu,agus hari i yudhoyono titip jaga pluralisme bangsa saing pilih kepala daerah
158,positive,Agus-Sylvi,AHY memang kalah di pilkada tetapi MENANG di hati rakyat.,agus harimurti yudhoyono kalah pilihan kepala daerah menang hati rakyat,agus hari i yudhoyono kalah pilih kepala daerah menang hati rakyat
159,positive,Agus-Sylvi,Dari pada pendukung Ahok berantem terus. Mending kaya pendukung AHY membuat kopdar biar makin luas siapa tau jadi calon lagi,dukung ahok antem mending kayak dukung agus harimurti yudhoyono kopdar biar luas tau calon,dukung ahok antem mending kayak dukung agus hari i yudhoyono kopdar biar luas tau calon
160,positive,Agus-Sylvi,"Menurut AHY, Pilkada DKI memberi hikmah, pelajaran, ujian dan tantangan yang dapat ia ambil. Semua itu dapat mematangkan karakternya#AIMAN",agus harimurti yudhoyono pilihan kepala daerah daerah khusus ibukota hikmah ajar uji tantang ambil matang karakternyaaiman,agus hari i yudhoyono pilih kepala daerah daerah khusus ibu kota hikmah ajar uji tantang ambil matang karakternyaaiman
161,positive,Agus-Sylvi,"@AgusYudhoyono Semangat terus Pak AHY, faktor kekalahan pada pilkada waktu kemarin itu adalah wakil Pak AHY, nanti maju lagi, insyaAlloh.",agusyudhoyono semangat agus harimurti yudhoyono faktor kalah pilihan kepala daerah kemarin wakil agus harimurti yudhoyono maju insyaallah,agusyudhoyono semangat agus hari i yudhoyono faktor kalah pilih kepala daerah kemarin wakil agus hari i yudhoyono maju insyaallah
162,positive,Agus-Sylvi,"kalau dilihat upaya Demokrat mengenalkan AHY cukup berhasil di Pilkada Jakarta, dan sekarang AHY sudah mulai blusukan ke seluruh Indonesia",upaya demokrat kenal agus harimurti yudhoyono hasil pilihan kepala daerah jaka a agus harimurti yudhoyono blusuk indonesia,upaya demokrat kenal agus hari i yudhoyono hasil pilih kepala daerah jaka a agus hari i yudhoyono blusuk indonesia
163,positive,Agus-Sylvi,"@AHY prinsip kepemimpinan, memenangkan sebuah Pilkada, belajar terus dan sangat dinamis. @hildathawilla @Panti_silaban",agus harimurti yudhoyono prinsip pimpin menang pilihan kepala daerah ajar dinamis hildathawilla panti silaban,agus hari i yudhoyono prinsip pimpin menang pilih kepala daerah ajar dinamis hildathawilla panti silaban
164,positive,Agus-Sylvi,"Pilihan warga jkt Mayoritas bukan pada ahok, tapi calon selain ahok, terbukti di dua putaran pilkada dki. Mayoritas memilih AHY dan Anies",pilih warga jakarta mayoritas ahok calon ahok bukti putar pilihan kepala daerah daerah khusus ibukota mayoritas pilih agus harimurti yudhoyono anies,pilih warga jaka a mayoritas ahok calon ahok bukti putar pilih kepala daerah daerah khusus ibu kota mayoritas pilih agus hari i yudhoyono anies
165,positive,Agus-Sylvi,"Lewat Akun Instagram, AHY Ucapkan Selamat Kepada Paslon Pemenang Pilkada DKI Jakarta",akun instagram agus harimurti yudhoyono ucap selamat pasangan calon menang pilihan kepala daerah daerah khusus ibukota jaka a,akun instagram agus hari i yudhoyono selamat pasang calon menang pilih kepala daerah daerah khusus ibu kota jaka a
166,positive,Agus-Sylvi,Menyeberangi Selat Malaka. Aiman KompasTV yang mendapat kesempatan pertama mewawancarai AHY usai Pilkada DKI @Rosianna766Hi,rang selat malaka aiman kompastv sempat pe sama wawancara agus harimurti yudhoyono pilihan kepala daerah daerah khusus ibukota rosianna hi,rang selat malaka aiman kompastv pe wawancara agus hari i yudhoyono pilih kepala daerah daerah khusus ibu kota rosianna hi
167,positive,Agus-Sylvi,AHY Sebut Pilkada DKI Berjalan Bermartabat,agus harimurti yudhoyono pilihan kepala daerah daerah khusus ibukota jalan berma abat,agus hari i yudhoyono pilih kepala daerah daerah khusus ibu kota jalan berma abat
168,positive,Agus-Sylvi,"Salam kagum buat AHY. Masih muda, berani pensiun dini, berani menantang ahok di pilkada, disaat semua pada takut, termasuk @ridwankamil",salam kagum agus harimurti yudhoyono muda berani pensiun berani tantang ahok pilihan kepala daerah saat takut ridwan kamil,salam kagum agus hari i yudhoyono muda berani pensiun berani tantang ahok pilih kepala daerah takut ridwan kamil
169,positive,Agus-Sylvi,Pilkada DKI berdoa AHY menang. Mudah-mudahan Anies Sandi yang menang.,pilihan kepala daerah daerah khusus ibukota doa agus harimurti yudhoyono menang mudah mudah anies sandi menang,pilih kepala daerah daerah khusus ibu kota doa agus hari i yudhoyono menang mudah mudah anies sandi menang
170,positive,Agus-Sylvi,"soal mental kalah Pilkada, Indonesia harus berguru pada sosok AHY.",mental kalah pilihan kepala daerah indonesia guru sosok agus harimurti yudhoyono,mental kalah pilih kepala daerah indonesia guru sosok agus hari i yudhoyono
171,positive,Agus-Sylvi,"LSI telah membuktikan kejujuran surveynya pada pilkada DKI tahap1- ahokdjarot disurvey langsung kalah dan Ahy menang 1 putaran,",lsi bukti jujur survei pilihan kepala daerah daerah khusus ibukota tahap ahok djarot disurvey langsung kalah agus harimurti yudhoyono menang putar,lsi bukti jujur survei pilih kepala daerah daerah khusus ibu kota tahap ahok djarot disurvey langsung kalah agus hari i yudhoyono menang putar
172,positive,Agus-Sylvi,"sehabis pilkada,pileg dan pilpres saya harap AHY menjadi ketua DPR @AgusYudhoyono",habis pilihan kepala daerah pilihan legislatif pemilihan presiden harap agus harimurti yudhoyono ketua dewan perwakilan rakyat agusyudhoyono,habis pilih kepala daerah pilih legislatif pilih presiden harap agus hari i yudhoyono ketua dewan wakil rakyat agusyudhoyono
173,positive,Agus-Sylvi,Sebentar lagi kita lupakan kegilaan pilkada DKI. Mari berlari bersama AHY. Kita mulai dari Kepri 23 April,sebentar lupa gila pilihan kepala daerah daerah khusus ibukota mari lari agus harimurti yudhoyono kepulauan riau april,sebentar lupa gila pilih kepala daerah daerah khusus ibu kota mari lari agus hari i yudhoyono pulau riau april
174,positive,Agus-Sylvi,"Saya bilang PASTI MENANG karena bentuk keyakinan akan keberhasilan goal goal LAIN dari IMPROVISASI politik Pak SBY & Pak AHY,di Pilkada DKI.",bilang menang bentuk yakin hasil goal goal improvisasi politik susilo bambang yudhoyono agus harimurti yudhoyono pilihan kepala daerah daerah khusus ibukota,bilang menang bentuk hasil goal goal improvisasi politik susilo bambang yudhoyono agus hari i yudhoyono pilih kepala daerah daerah khusus ibu kota
175,positive,Agus-Sylvi,semoga Anies menang pilkada dan AHY jadi presiden Indonesia 2019 Aamiin YRA klop dah!@AgusYudhoyono,semoga anies menang pilihan kepala daerah agus harimurti yudhoyono presiden indonesia amin ya rabbal alamin klop sudah agusyudhoyono,semoga anies menang pilih kepala daerah agus hari i yudhoyono presiden indonesia amin ya rabi alamin klop agusyudhoyono
176,positive,Agus-Sylvi,"@SBYudhoyono setelah pilkada DKI, AHY jadi sangat diperhitungkan. Diharapkan dia bisa menjadi pemimpin RI selanjutnya",susilo bambang yudhoyono pilihan kepala daerah daerah khusus ibukota agus harimurti yudhoyono hitung harap pimpin ri,susilo bambang yudhoyono pilih kepala daerah daerah khusus ibu kota agus hari i yudhoyono hitung harap pimpin ri
177,positive,Agus-Sylvi,saya pikir target AHY dalam pilkada kemarin adalah untuk membangun sentimen positif,pikir target agus harimurti yudhoyono pilihan kepala daerah kemarin bangun sentimen positif,pikir target agus hari i yudhoyono pilih kepala daerah kemarin bangun sentimen positif
178,positive,Agus-Sylvi,"Jadi, tolong hargai sikap saya dan beberapa pendukung AHY yang memilih bersikap netral di putaran kedua Pilkada DKI 2017 ini.",tolong harga sikap dukung agus harimurti yudhoyono pilih sikap netral putar pilihan kepala daerah daerah khusus ibukota,tolong harga sikap dukung agus hari i yudhoyono pilih sikap netral putar pilih kepala daerah daerah khusus ibu kota
179,positive,Agus-Sylvi,Pilkada Rasa Pilkades kata mas @panca66 tidak ada AHY tidak rame,pilihan kepala daerah pilkades mas panca agus harimurti yudhoyono ramai,pilih kepala daerah pilkades mas panca agus hari i yudhoyono ramai
180,positive,Agus-Sylvi,di pilkada putaran pertama kemarin saya membuat kaos AHY sendiri untuk dibagi-bagikan dilingkungan saya Utan Kayu Jaktim.,pilihan kepala daerah putar pe sama kemarin kaos agus harimurti yudhoyono bagi bagi lingkung utan kayu jaktim,pilih kepala daerah putar pe kemarin kaos agus hari i yudhoyono lingkung utan kayu jaktim
181,positive,Agus-Sylvi,"tetap semangat dukung AHY-Sylvi sampai pilkada terlaksana, yakin dan tentukan pilihan anda kepada yang pro rakyat.",semangat dukung agus harimurti yudhoyono sylvi pilihan kepala daerah laksana tentu pilih pro rakyat,semangat dukung agus hari i yudhoyono sylvi pilih kepala daerah laksana pilih pro rakyat
182,positive,Agus-Sylvi,Salah satu cara AHY-Silvy menang pilkada itu mudah. Ibu silvy naik mio tidak memakai helm keliling komplek saat pemilihan Dijamin pada segan,salah agus harimurti yudhoyono silvy menang pilihan kepala daerah mudah silvy mio pakai helm keliling kompleks pilih jamin segan,salah agus hari i yudhoyono silvy menang pilih kepala daerah mudah silvy mio pakai helm keliling kompleks pilih jamin segan
183,positive,Agus-Sylvi,Maju terus AHY-Silvy dan Anies-Sandi BerSATU bersama menangkan pilkada DKI #pilihpemimpinmuslim #Debat2PilkadaDKI,maju agus harimurti yudhoyono silvy anies sandi satu menang pilihan kepala daerah daerah khusus ibukota pilihpemimpinmuslim debat pilkadadki,maju agus hari i yudhoyono silvy anies sandi menang pilih kepala daerah daerah khusus ibu kota pilihpemimpinmuslim debat pilkadadki
184,positive,Agus-Sylvi,Kita tunggu kualitas jiwa Anies Sandi..apa ucapan atas peran suara loyalis AHY-Silvy dalam kemenangan pilkada ini #BasukiKeokMasukBui,tunggu kualitas jiwa anies sandi ucap peran suara loyalis agus harimurti yudhoyono silvy menang pilihan kepala daerah basukikeokmasukbui,tunggu kualitas jiwa anies sandi peran suara loyalis agus hari i yudhoyono silvy menang pilih kepala daerah basukikeokmasukbui
185,positive,Agus-Sylvi,"Terimakasih AHY-SILVY, tanpa kalian jakarta tidak akan mempunyai gubernur baru",terima kasih agus harimurti yudhoyono silvy jaka a gubernur,terima kasih agus hari i yudhoyono silvy jaka a gubernur
186,positive,Agus-Sylvi,saya lebih ke #AgusSilvy,agussilvy,agussilvy
187,positive,Agus-Sylvi,Cakeeepppp....#bersatunya pendukung #AniesSandi dan #agussilvy,cakeeepppp satu dukung aniessandi agussilvy,cakeeepppp dukung aniessandi agussilvy
188,positive,Agus-Sylvi,Jangan lupa pilih paslon no. 1 #AgusSilvy #ForRI1 https://twitter.com/Ruchan_JKT48/status/830605267070902274,lupa pilih pasangan calon no agussilvy forri,lupa pilih pasang calon no agussilvy forri
189,positive,Agus-Sylvi,Sinyal Positif Agus-Sylvi Merapat ke Anies-Sandi #PilkadaDKIJakarta #agussilvy https://www.harianbernas.com/berita-32894-Sinyal-Positif,sinyal positif agus sylvi rapat anies sandi pilkadadkijaka a agussilvy,sinyal positif agus sylvi rapat anies sandi pilkadadkijaka a agussilvy
190,positive,Agus-Sylvi,@ArainsanR @fadlizon @AhyFansclub @AniesSandiNo3 @Gerindra @PDemokrat SIAP RAPATKAN BARISAN SEMUA! SATU KOMANDO #agussilvy,arainsanr fadli zon ahyfansclub aniessandino gerindra pdemokrat rapat baris komando agussilvy,arainsanr fadli zon ahyfansclub aniessandino gerindra pdemokrat rapat baris komando agussilvy
191,positive,Agus-Sylvi,"@AhyFansclub Kalau putaran 2 ,, SIAP RAPAT KAN BARISAN SEMUA ! SATU KOMANDO ! #aniessandi #agussilvy",ahyfansclub putar rapat baris komando aniessandi agussilvy,ahyfansclub putar rapat baris komando aniessandi agussilvy
192,positive,Agus-Sylvi,"Mengakui kekalahan, apapun itu tujuannya tapi great applause lah. Patut ditiru untuk demokrasi yang positif #AgusSilvy",aku kalah apa tuju great applause patut tiru demokrasi positif agussilvy,kalah tuju great applause patut tiru demokrasi positif agussilvy
193,positive,Agus-Sylvi,Salut! @AgusYudhoyono & Mpok Silvy dengan mengakui kemenangan Paslon lain. #agussilvy #Salam2Jari #KitaNKRI #TetapSemangat #PilkadaDKI,salut agusyudhoyono empok silvy aku menang pasangan calon agussilvy salam jari kitankri tetapsemangat pilkadadki,salut agusyudhoyono empok silvy menang pasang calon agussilvy salam jari kitankri tetapsemangat pilkadadki
194,positive,Agus-Sylvi,"baru quick count,Ttp kalau hasil kpud benar sampai 2putaran SIAP RAPAT KAN BARISAN SEMUA! SATU KOMANDO! #aniessandi #agussilvy",quick count tetap hasil komisi pemilihan umum daerah putar rapat baris komando aniessandi agussilvy,quick count hasil komisi pilih daerah putar rapat baris komando aniessandi agussilvy
195,positive,Agus-Sylvi,"youtu.be/bxrZD69u61A  tenang, bening, ..dan tulus. Mas Agus, mungkin di masa yg akan datang yaa mas.. #apreciate #agussilvy",youtu be bxrzd kamu a tenang bening tulus mas agus yang ya mas apreciate agussilvy,youtu be bxrzd a tenang bening tulus mas agus ya mas apreciate agussilvy
196,positive,Agus-Sylvi,Mari beri masukan & kritik yang membangun bagi yang kalah dalam pertandingan. #PilkadaSerentak2017 #ahokdjarot #agussilvy #AniesSandi,mari masuk kritik bangun kalah pe andingan pilkadaserentak ahok djarot agussilvy aniessandi,mari masuk kritik bangun kalah pe andingan pilkadaserentak ahok djarot agussilvy aniessandi
197,positive,Agus-Sylvi,Apapun hasilnya kau tetap kebanggaan kami #AgusSilvy,apa hasil kamu bangga agussilvy,hasil bangga agussilvy
198,positive,Agus-Sylvi,"Ingat, fokus dan menangkan #AHY #AgusYudhoyono #RakernasDemokrat2017 #DemokratKelilingNusantara @AgusYudhoyono @SBYudhoyono",fokus menang agus harimurti yudhoyono agusyudhoyono rakernasdemokrat demokratkelilingnusantara agusyudhoyono susilo bambang yudhoyono,fokus menang agus hari i yudhoyono agusyudhoyono rakernasdemokrat demokratkelilingnusantara agusyudhoyono susilo bambang yudhoyono
199,positive,Agus-Sylvi,Rakernas Partai Demokrat bersama AHY #ahy #partaidemokrat #lombok #gilitrawangan #mataramâ€¦ https://www.instagram.com/p/BTzMrEdliY4/,rakernas pak ai demokrat agus harimurti yudhoyono agus harimurti yudhoyono pak aidemokrat lombok gilitrawangan mataram,rakernas ai demokrat agus hari i yudhoyono agus hari i yudhoyono aidemokrat lombok gilitrawangan mataram
200,positive,Agus-Sylvi,"Alhamdulillah.... #AHY tersambut hangat, mesra dan intim di NTB.",alhamdulillah agus harimurti yudhoyono sambut hangat mesra intim ntb,alhamdulillah agus hari i yudhoyono sambut hangat mesra intim ntb
201,positive,Agus-Sylvi,Ngawal Abang dulu keliling Ampenan #AHY #fkppi #kawal #bodyguard #military #myjob https://www.instagram.com/p/BTySqVcjLv5/,ngawal abang keliling ampenan agus harimurti yudhoyono fkppi kawal bodyguard military myjob,ngawal abang keliling ampenan agus hari i yudhoyono fkppi kawal bodyguard military myjob
202,positive,Agus-Sylvi,Ada apa dengan #AHY knp disetiap acara nya massa membludak?Krn rakyat melihat harapan utk AHY memimpin negara ini dimasa yg dtg. #AHYforAll,agus harimurti yudhoyono kenapa tiap acara nya massa membludak karena rakyat harap untuk agus harimurti yudhoyono pimpin negara masa yang datang ahyforall,agus hari i yudhoyono acara nya massa membludak rakyat harap agus hari i yudhoyono pimpin negara ahyforall
203,positive,Agus-Sylvi,"Kekalahan adalah sukses yg tertunda, bukan untuk disesali tapi dijadikan pengalaman tuk lebih baik lagi di masa depan #AHY",kalah sukses yang te unda sali jadi alam untuk agus harimurti yudhoyono,kalah sukses te unda sali alam agus hari i yudhoyono
204,positive,Agus-Sylvi,Tandatangan petisi Stop Hoax dan Fitnah serta mendukung gerakan Kebebasan Pers tanpa Hoax dan fitnah. #AHY #Demokrat #demokratbersamarakyat,tanda tangan petisi stop hoaks fitnah a dukung gerak bebas pers hoaks fitnah agus harimurti yudhoyono demokrat demokratbersamarakyat,tanda tangan petisi stop hoaks fitnah a dukung gerak bebas pers hoaks fitnah agus hari i yudhoyono demokrat demokratbersamarakyat
205,positive,Agus-Sylvi,#AHY#Demi.Indonesia,ahydemi indonesia,ahydemi indonesia
206,positive,Agus-Sylvi,mestinya ya begitu ya Gus....#AHY negarawan.,mesti ya ya gus agus harimurti yudhoyono negarawan,mesti ya ya gus agus hari i yudhoyono negarawan
207,positive,Agus-Sylvi,"Demokrat dengan cinta, untuk NKRI, #AHY dan #Demokrat berbakti.",demokrat cinta negara kesatuan republik indonesia agus harimurti yudhoyono demokrat bakti,demokrat cinta negara satu republik indonesia agus hari i yudhoyono demokrat bakti
208,positive,Agus-Sylvi,#Karanganbungaahok jagoan kalah duluan ...klu gitu #Ahy dong jagoannya bukan ahok,karanganbungaahok jago kalah lebih dahulu kalau begitu agus harimurti yudhoyono jago ahok,karanganbungaahok jago kalah agus hari i yudhoyono jago ahok
209,positive,Agus-Sylvi,#ahy,agus harimurti yudhoyono,agus hari i yudhoyono
210,positive,Agus-Sylvi,Pesan #AHY jangan lupa gembira dan cinta Indonesia,pesan agus harimurti yudhoyono lupa gembira cinta indonesia,pesan agus hari i yudhoyono lupa gembira cinta indonesia
211,positive,Agus-Sylvi,Salam untuk kaum muda. Hormat pada yang tua. #AHY,salam kaum muda hormat tua agus harimurti yudhoyono,salam kaum muda hormat tua agus hari i yudhoyono
212,positive,Agus-Sylvi,#AHY#TheNextLeader#AHY#AdalahKita,ahythenextleaderahyadalahkita,ahythenextleaderahyadalahkita
213,positive,Agus-Sylvi,Mau jalan di tempat atau berlari menyongsong masa depan dari sekarang? #AHY menyongsong masa depan,jalan lari songsong agus harimurti yudhoyono songsong,jalan lari songsong agus hari i yudhoyono songsong
214,positive,Agus-Sylvi,"Langkah ""Kuda"" Agus Yudhoyono -> https://goo.gl/95ldom  #AHY #SBY #PartaiDemokrat #Pilakada #DKIJakarta",langkah kuda agus yudhoyono agus harimurti yudhoyono susilo bambang yudhoyono pak aidemokrat pilakada dkijaka a,langkah kuda agus yudhoyono agus hari i yudhoyono susilo bambang yudhoyono aidemokrat pilakada dkijaka a
215,positive,Agus-Sylvi,Datang tampak muka pulang tampak punggung. Terima kasih Kepri #DemokratKelilingNusantara #AHY,muka pulang punggung terima kasih kepulauan riau demokratkelilingnusantara agus harimurti yudhoyono,muka pulang punggung terima kasih pulau riau demokratkelilingnusantara agus hari i yudhoyono
216,positive,Agus-Sylvi,Aku pada #AHY pemimpin muda,agus harimurti yudhoyono pimpin muda,agus hari i yudhoyono pimpin muda
217,positive,Agus-Sylvi,"#AHY adalah Inspirasi Kaum Muda... ""GERAKAN INDONESIA MUDA"" menuju INDONESIA EMAS",agus harimurti yudhoyono inspirasi kaum muda gerak indonesia muda indonesia emas,agus hari i yudhoyono inspirasi kaum muda gerak indonesia muda indonesia emas
218,positive,Agus-Sylvi,Setia pada #AHY sebab politik Indonesia perlu ada regenerasi yg MATANG agar jgn ada lagi kutu loncat,setia agus harimurti yudhoyono politik indonesia regenerasi yang matang jangan kutu loncat,setia agus hari i yudhoyono politik indonesia regenerasi matang kutu loncat
219,positive,Agus-Sylvi,#Setia HinggAHY akhir #Harapan #MasaDepanBangsa @PDemokrat @SBYudhoyono @hincapandjaitan @ranabaja @hariswijaya1975 @Edhie_Baskoro,setia hinggahy harap masadepanbangsa pdemokrat susilo bambang yudhoyono hincapandjaitan ranabaja hariswijaya edhie baskoro,setia hinggahy harap masadepanbangsa pdemokrat susilo bambang yudhoyono hincapandjaitan ranabaja hariswijaya edhie baskoro
